"Model","Scenario","Region","X2045","X2046","X2047","X2048","X2049","X2050"
"GCAM 6.0 NGFS","Fragmented World","NZL",-0.02586548216,-0.02741393526,-0.02904860771,-0.03065344386,-0.03219044334,-0.03367034139
"GCAM 6.0 NGFS","Fragmented World","NOR",-0.01998348602,-0.02081873657,-0.02158472161,-0.02222409878,-0.02277361442,-0.02320292391
"GCAM 6.0 NGFS","Fragmented World","POL",-0.02697689483,-0.02780859374,-0.02863608352,-0.02946831773,-0.03018434037,-0.03071488327
"GCAM 6.0 NGFS","Fragmented World","PRT",-0.03694005232,-0.03870245408,-0.04024858729,-0.0418009574,-0.04331207529,-0.04465897574
"GCAM 6.0 NGFS","Fragmented World","ROU",-0.03330104716,-0.03529804543,-0.03742772415,-0.03964867062,-0.04181391338,-0.04386870596
"GCAM 6.0 NGFS","Fragmented World","RUS",-0.03340875072,-0.03541393285,-0.03769889319,-0.04003833949,-0.04230745591,-0.04443779564
"GCAM 6.0 NGFS","Fragmented World","SGP",-0.0539943169,-0.05706375381,-0.06019994511,-0.06350084644,-0.06679160655,-0.06972423146
"GCAM 6.0 NGFS","Fragmented World","SVK",-0.02443795741,-0.0259304026,-0.02729838136,-0.02856830208,-0.02961202201,-0.0303523685
"GCAM 6.0 NGFS","Fragmented World","SVN",-0.0256000802,-0.02647643952,-0.02715371688,-0.02773991346,-0.02821420392,-0.02856670572
"GCAM 6.0 NGFS","Fragmented World","ZAF",-0.04892386729,-0.05154114672,-0.0541605682,-0.05684937672,-0.0593967313,-0.06158957425
"GCAM 6.0 NGFS","Fragmented World","KOR",-0.03197597183,-0.03312386843,-0.03399456739,-0.03480933879,-0.03561236798,-0.03640079078
"GCAM 6.0 NGFS","Fragmented World","ESP",-0.03955687496,-0.04142266205,-0.04304858522,-0.04463146602,-0.04618861504,-0.04757443411
"GCAM 6.0 NGFS","Fragmented World","SWE",-0.02187747762,-0.02308010416,-0.02422680567,-0.02536892019,-0.02644993797,-0.02741236191
"GCAM 6.0 NGFS","Fragmented World","CHE",-0.01763031176,-0.01842802911,-0.01919119982,-0.0200544765,-0.02103304997,-0.02205372668
"GCAM 6.0 NGFS","Fragmented World","TWN",-0.04046621889,-0.04177336461,-0.04286163586,-0.04388015766,-0.04488635751,-0.04586601178
"GCAM 6.0 NGFS","Fragmented World","TUR",-0.03540648944,-0.03689316168,-0.03839208729,-0.03990717468,-0.04137869159,-0.04284619312
"GCAM 6.0 NGFS","Fragmented World","GBR",-0.01920796142,-0.02006719575,-0.02082641855,-0.02159198904,-0.022308099,-0.02284137874
"GCAM 6.0 NGFS","Fragmented World","USA",-0.04917815315,-0.05128819398,-0.05318208569,-0.05500774577,-0.05684674884,-0.05861855184
"GCAM 6.0 NGFS","Fragmented World","VNM",-0.05972968153,-0.06243690328,-0.06495587038,-0.06750605951,-0.07012917962,-0.07260630083
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.04688912854,-0.0489727264,-0.05117948863,-0.05344328495,-0.05566650667,-0.05771473442
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","ARG",-0.02650580598,-0.02735044647,-0.02817011636,-0.02906548209,-0.02997607132,-0.03089363443
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)",NA,-0.04106574112,-0.04278961005,-0.04461158236,-0.04625985147,-0.04771777114,-0.04914180751
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","AUS",-0.02382721345,-0.02488085232,-0.02597071135,-0.02703482203,-0.02806520004,-0.02907827269
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","AUT",-0.01984653872,-0.02048364993,-0.02112744665,-0.02175020369,-0.02228736896,-0.02271748023
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","BEL",-0.01512697767,-0.01585277413,-0.01658205798,-0.01720561749,-0.01768688477,-0.01806022911
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","BRA",-0.03499283518,-0.03652733406,-0.03802551129,-0.03945868878,-0.0407881348,-0.04208056845
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","BGR",-0.01693804729,-0.01748841398,-0.01809750194,-0.01882548468,-0.01947958851,-0.02007115607
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CAN",-0.02237940568,-0.02319426627,-0.02397155303,-0.02470640579,-0.02539628291,-0.02601459262
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CHL",-0.01294882484,-0.0134403541,-0.01391696944,-0.01437258093,-0.01470839013,-0.01501353224
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CHN",-0.0265575606,-0.02772734683,-0.02893269296,-0.03012727227,-0.03135658685,-0.03253669075
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","HRV",-0.02780993544,-0.02905869224,-0.0303434425,-0.03165746847,-0.03285605754,-0.03384844223
"GCAM 6.0 NGFS","Nationally Determined Contributions (NDCs)","CZE",-0.0140265395,-0.01450625631,-0.01501975172,-0.01552167312,-0.01593825728,-0.01624706634
