"Model","Scenario","Region","Variable","Unit","X1990","X1995","X2000","X2005","X2007","X2008","X2010","X2011","X2012","X2013","X2014","X2015","X2018","X2020","X2021","X2022","X2023","X2024","X2025","X2030","X2035","X2040","X2045","X2050","X2055","X2060","X2065","X2070","X2075","X2080","X2085","X2090","X2095","X2100","X2110","X2130","X2150","Category","Policy_category"
"AIM/CGE 2.2","EN_INDCi2030_1600","RUS","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4480.2396,NA,NA,NA,NA,4933.9156,NA,6011.3737,NA,NA,NA,NA,7213.0968,8461.2845,9121.1123,10059.9942,11093.5789,11922.9412,12605.7069,13260.9414,14057.4137,14951.7572,15939.7765,16851.9822,17823.805,18836.6204,19876.7443,20887.1771,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600","USA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14188.0371,NA,NA,NA,NA,15815.7262,NA,18261.6556,NA,NA,NA,NA,20377.5157,22273.2684,24184.5328,25870.0768,27549.4154,29071.2401,30566.7538,32095.8406,33678.4191,35191.752,36700.0296,38244.4276,39735.5335,41158.7797,42527.6412,43845.3474,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600f","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7716.8923,8498.4858,9261.2654,10028.1641,10789.7294,11512.843,12242.0366,13015.624,13780.8533,14530.5966,15288.851,16060.9354,16850.7751,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600f","CHN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14563.1105,NA,NA,NA,NA,21267.6935,NA,31208.4773,NA,NA,NA,NA,41149.8827,50530.2826,56625.3198,63810.2735,70749.8826,76021.3913,79666.3476,82328.2595,84211.2205,85518.9497,86547.0187,87501.023,87959.4652,88378.2989,88542.6563,88620.6396,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600f","EU","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,15241.213,NA,NA,NA,NA,16498.9188,NA,18299.7487,NA,NA,NA,NA,20009.1055,21751.0323,23751.627,25821.4018,27981.3198,30159.3588,32401.4512,34788.863,37286.549,39858.2431,42443.1664,45075.4453,47726.1074,50420.1737,53159.5666,55922.2027,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600f","IND","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4980.3626,NA,NA,NA,NA,6837.0405,NA,9526.5034,NA,NA,NA,NA,12880.5197,16745.7338,20294.9212,24938.3545,30276.6354,36098.264,42287.1954,48759.3038,55455.2617,62277.0316,69355.7963,76519.9303,83682.1224,91500.4101,99438.3656,107252,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600f","JPN","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4545.5679,NA,NA,NA,NA,4781.2649,NA,5012.2513,NA,NA,NA,NA,5259.0855,5485.3417,5683.8421,5826.0451,5988.9197,6144.7405,6311.6587,6485.6347,6647.578,6810.9666,6974.6578,7137.4796,7301.3298,7471.1144,7643.9309,7815.9978,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600f","RUS","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,4480.2396,NA,NA,NA,NA,4933.9156,NA,6011.3737,NA,NA,NA,NA,7213.0968,8461.2845,9121.1123,10144.2307,11150.0968,11966.1969,12662.3407,13347.6889,14121.6781,15026.2149,15961.2923,16888.6163,17801.06,18790.054,19833.2336,20845.0744,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1600f","USA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,14188.0371,NA,NA,NA,NA,15815.7262,NA,18261.6556,NA,NA,NA,NA,20377.5157,22273.2684,24184.5328,25896.6722,27565.7067,29083.1718,30582.461,32124.8745,33704.5756,35220.2208,36705.2377,38244.9252,39725.9122,41142.931,42526.9735,43853.9524,NA,NA,NA,"C5","P3b"
"AIM/CGE 2.2","EN_INDCi2030_1800","BRA","GDP|PPP","billion US$2010/yr",NA,NA,NA,NA,NA,NA,3631.6977,NA,NA,NA,NA,3841.5749,NA,4681.5666,NA,NA,NA,NA,5467.3702,6161.75,6959.4368,7733.5682,8508.5609,9267.8244,10038.4156,10811.1189,11533.9631,12265.2455,13028.5957,13796.3971,14552.0374,15308.569,16078.6984,16862.2917,NA,NA,NA,"C5","P3b"
